Year,Length,Title,Subject,Actor
1961,172,El Cid,Drama,Heston
1958,114,Desire under the Elms,Drama,Perkins
1953,92,Two Nights with Cleo,Drama,Sordi
1977,91,Angela,Drama,Railsback
1977,105,A Special Day,Drama,Mastroianni
1979,112,Blood Feud,Action,Mastroianni
1991,130,Man of La Mancha,Music,O'Toole
1992,116,Operation Crossbow,Action,Peppard
1986,141,Courage,Drama,Williams
1986,94,RAD,Action,Allen
1992,98,Secret Admirer,Comedy,Howell
1979,85,Cocaine Cowboys,Action,Palance
1991,118,Test Pilot,Drama,Gable
1991,102,Curly Sue,Comedy,Belushi
1962,150,Lolita,Drama,Mason
1990,107,Green Card,Comedy,Depardieu
1988,95,Gator Bait II,Action,Muzzcat
1979,129,Being There,Comedy,Sellers
1983,132,Terms of Endearment,Drama,Nicholson
1967,99,Woman Times Seven,Comedy,Sellers
1990,101,Postcards from the Edge,Comedy,Quaid
1970,105,Two Mules for Sister Sara,Western,Eastwood
1992,84,Dragonfight,Drama,Z'Dar
1939,85,Back Door to Heaven,Drama,Ford
1992,60,A Certain Sacrifice,Music,Pattnosh
1988,83,Hot to Trot,Comedy,Goldthwait
1986,103,Fire with Fire,Drama,Sheffer
1990,120,Hot Spot,Drama,Johnson
1974,124,Amarcord,Drama,Noel
1988,85,Casablanca Express,Action,Connery
1980,94,Out of the Blue,Drama,Hopper
1949,110,Sands of Iwo Jima,War,Wayne
1989,81,Deep Cover,Mystery,Conti
1955,92,Il Bidone,Drama,Crawford
1986,130,El Guerrero Solitario,Drama,Eastwood
1986,130,Heartbreak Ridge,War,Eastwood
1991,113,Audrey Rose,Drama,Hopkins
1981,86,Polyester,Comedy,Divine
1991,144,Robin Hood: Prince of Thieves,Action,Costner
1992,101,White Sands,Drama,Dafoe
1986,119,Children of a Lesser God,Drama,Hurt
1989,88,Women on the Verge of a Nervous Breakdown,Comedy,Banderas
1980,86,Pepi Luci Bom,Comedy,Rotaeta
1990,92,After the Shock,Drama,Kotto
1990,110,Modern Love,Comedy,Benson
1992,95,Riff Raff,Comedy,Carlyle
1990,181,Dances with Wolves,Western,Costner
1987,130,Matewan,Drama,Jones
1988,120,Mississippi Burning,Drama,Hackman
1988,109,Unsettled Land,Drama,Shea
1991,98,Cat Chaser,Drama,Weller
1989,109,Winter People,Drama,Russell
1987,102,Made in Heaven,Fantasy,Hutton
1986,109,Top Gun,Action,Cruise
1985,112,Witness,Drama,Ford
1984,109,Racing with the Moon,Drama,Penn
1983,98,Lovesick,Comedy,Moore
1988,106,She's Having a Baby,Comedy,Hughes
1989,105,Hawks,Drama,Dalton
1981,91,So Fine,Comedy,O'Neal
1957,89,Paths of Glory,Drama,Douglas
1964,120,Tom Jones,Drama,Ustinov
1988,98,Caddyshack 2,Comedy,Mason
1990,117,Internal Affairs,Drama,Gere
1991,206,JFK,Drama,Costner
1991,97,New Jack City,Action,Snipes
1991,87,Scenes from a Mall,Comedy,Allen
1987,118,Hope & Glory,War,Hayman
1970,194,Ryan's Daughter,Drama,Mitchum
1989,102,Dead-Bang,Action,Johnson
1988,90,Big Top Pee-wee,Comedy,Reubens
1972,128,Cabaret,Drama,Grey
1981,97,Arthur,Comedy,Moore
1976,97,A Matter of Time,Drama,Boyer
1991,240,Four American Composers,Music,Cage
1992,61,Ladies of the Chorus,Music,Garr
1953,95,How to Marry a Millionaire,Comedy,Powell
1991,94,Nothing But Trouble,Comedy,Candy
1987,109,Wisdom,Action,Estevez
1986,94,One Crazy Summer,Comedy,Cusack
1989,110,We're No Angels,Comedy,De Niro
1984,102,No Small Affair,Comedy,Cryer
1990,127,Ghost,Science Fiction,Swayze
1986,113,About Last Night,Drama,Lowe
1982,107,Six Weeks,Drama,Moore
1948,89,Return of October,Comedy,Ford
1974,117,Going Places,Drama,Depardieu
1970,99,Monte Walsh,Western,Marvin
